input_channel_id,E[X],E[Xs],W,W_scaled,scale
361,0.011333308,0.2804082,0.0166,0.00067098835,0.04041718
362,0.023665646,0.5023521,0.0155,0.000730338,0.047109675
363,0.01922814,0.48210463,0.04736,0.0018890252,0.039883748
364,0.0058544246,0.15571262,0.01782,0.00067007483,0.037597623
365,0.043704454,1.073812,-0.02734,-0.0011128983,0.040700283
366,-0.0018395395,-0.052377578,0.006165,0.00021650361,0.035120744
367,-0.008064141,-0.27745104,-0.04688,-0.0013624263,0.029065095
368,0.02357169,0.54973495,0.006927,0.00029703887,0.04287828
369,-0.002677868,-0.06667019,-0.07227,-0.0029026137,0.040165897
370,0.008139496,0.22871004,-0.01538,-0.00054738496,0.03558871
371,0.018052047,0.5045064,0.004486,0.00016051927,0.0357816
372,-0.029630197,-0.75282395,-0.02917,-0.0011482834,0.039358735
373,-0.02345738,-0.6189407,0.0586,0.0022206584,0.037899237
374,-0.022127545,-0.5997722,0.0515,0.0019005067,0.03689325
375,-0.015532894,-0.46334124,-0.02759,-0.0009248471,0.03352366
376,-0.0008603415,-0.031017669,-0.01398,-0.00038768345,0.027737143
377,0.020327955,0.5586723,0.0703,0.0025584039,0.036386188
378,-0.009492485,-0.2931162,-0.07666,-0.0024826173,0.032384716
379,0.010148144,0.25852424,-0.01636,-0.00064209633,0.03925413
380,0.0018563526,0.05399272,0.1089,0.0037436925,0.034381535
381,-0.011642646,-0.29602918,0.02673,0.0010514081,0.039329387
382,-0.005893922,-0.14942722,0.08887,0.0035052267,0.03944343
383,-0.012792106,-0.3703396,-0.02856,-0.0009866606,0.034541555
384,-0.0077361446,-0.19895764,-0.02332,-0.00090658263,0.038883377
385,0.027875315,0.72467744,0.02917,0.0011222329,0.038465824
386,-0.020494137,-0.65789044,0.0349,0.0010875573,0.031151291
387,0.019601313,0.45124292,0.02112,0.00091734127,0.043438494
388,-0.0015172032,-0.044753466,-0.02783,-0.0009435436,0.033901356
389,-0.011987389,-0.32230753,-0.0913,-0.0033959853,0.037192397
390,-0.1604145,-0.936972,0.007782,0.0013323161,0.17120522
391,-0.015001535,-0.413211,0.08887,0.003226304,0.036304783
392,-0.018888343,-0.5692356,-0.05737,-0.0019037492,0.033181943
393,0.0008709662,0.020670237,-0.02246,-0.00094641955,0.042136244
394,-0.023670292,-0.60655725,-0.0065,-0.00025366555,0.039024003
395,0.005223165,0.13064227,-0.01294,-0.0005173279,0.039980665
396,0.0052736024,0.18623066,-0.01123,-0.00031801977,0.028317586
397,0.015154523,0.39900234,-0.001541,-5.853401e-05,0.037981037
398,0.0009958445,0.02414996,-0.03735,-0.0015403045,0.041235864
399,-0.024928592,-0.3323861,-0.006653,-0.0004989551,0.0749989
400,0.007043093,0.24614643,0.03247,0.0009290981,0.028613428
401,0.013037422,0.36054954,0.03088,0.0011167536,0.03615986
402,0.004485268,0.14783548,0.0679,0.0020591815,0.030339593
